CURRENTDUE,SORTNAME,PROJECTTYPE,BUDGETEDEMPLOYEE,ROLE,DATERECEIVED,STATUS,GROUPS,DETAILBUDGETHOURS,CLTNUM,INCHARGE,PRIMARYPARTNER,DESCRIPTION,PREPARERPOOL,ENGDESC,SKILLLEVEL
4/15/2024,Nitzsche - Walsh,Individual Income Tax,"Brady, Ares",Reviewer,4/3/2024,"In, Unassigned",ZZINDIV,0.25,53193,"Hubbard, Braden","Hubbard, Braden",Alan Stinson,No Selection,Tax,Manager
4/15/2024,Nitzsche - Walsh,Individual Income Tax,"Hubbard, Braden",Reviewer,4/3/2024,"In, Unassigned",ZZINDIV,1,53193,"Hubbard, Braden","Hubbard, Braden",Alan Stinson,No Selection,Tax,Partner
4/15/2024,Jakubowski - Donnelly,Individual Income Tax,"Small, Diego",Preparer,4/3/2024,In Prep,ZZINDIV,10,53323,"Gardner, Asa","Gardner, Asa",,Staff Pool,,Associate
4/15/2024,Jakubowski - Donnelly,Individual Income Tax,"Gardner, Asa",Reviewer,4/3/2024,In Prep,ZZINDIV,3,53323,"Gardner, Asa","Gardner, Asa",,Staff Pool,,Partner
4/15/2024,Kirlin Inc,Individual Income Tax,"Morrow, Esperanza",Reviewer,4/3/2024,"In, Unassigned",Mcelwee,2,53357,"Gardner, Asa","Gardner, Asa",,Intern Pool,,Manager
4/15/2024,Kirlin Inc,Individual Income Tax,Intern,Preparer,4/3/2024,"In, Unassigned",Mcelwee,4,53357,"Gardner, Asa","Gardner, Asa",,Intern Pool,,Intern
4/15/2024,Kirlin Inc,Individual Income Tax,"Gardner, Asa",Reviewer,4/3/2024,"In, Unassigned",Mcelwee,0.5,53357,"Gardner, Asa","Gardner, Asa",,Intern Pool,,Partner
4/15/2024,Kirlin Inc,Individual Income Tax,"Morrow, Gordon",Reviewer,4/3/2024,"In, Unassigned",Mcelwee,3,53357,"Gardner, Asa","Gardner, Asa",,Intern Pool,,No Selection
9/15/2024,"Rogahn, Upton and Lemke",S Corporation Income Tax,"Duran, Angel",Reviewer,4/3/2024,On Hold,Lizarraga,3,53384,"Duran, Angel","Duran, Angel",,Staff Pool,,Partner
9/15/2024,"Rogahn, Upton and Lemke",S Corporation Income Tax,"Middleton, Cecilia",Reviewer,4/3/2024,On Hold,Lizarraga,5,53384,"Duran, Angel","Duran, Angel",,Staff Pool,,Manager
9/15/2024,"Rogahn, Upton and Lemke",S Corporation Income Tax,"Romero, Guadalupe",Preparer,4/3/2024,On Hold,Lizarraga,7,53384,"Duran, Angel","Duran, Angel",,Staff Pool,,Associate
9/15/2024,"Rogahn, Upton and Lemke",S Corporation Income Tax,"Morrow, Gordon",Reviewer,4/3/2024,On Hold,Lizarraga,5,53384,"Duran, Angel","Duran, Angel",,Staff Pool,,No Selection
4/15/2024,"Reynolds, Kutch and Durgan",Partnership Income Tax,Intern,Preparer,4/3/2024,"In, Unassigned",Lizarraga,1,53387,"Duran, Angel","Duran, Angel",,Staff Pool,,Intern
4/15/2024,"Reynolds, Kutch and Durgan",Partnership Income Tax,"Duran, Angel",Reviewer,4/3/2024,"In, Unassigned",Lizarraga,0.5,53387,"Duran, Angel","Duran, Angel",,Staff Pool,,Partner
4/15/2024,Wiza - Legros,Partnership Income Tax,Intern,Preparer,4/3/2024,"In, Unassigned",Huntington,6,53578,"Gardner, Asa","Tapia, Maisie",SMLLC,No Selection,,Intern
4/15/2024,Wiza - Legros,Partnership Income Tax,"Gardner, Asa",Reviewer,4/3/2024,"In, Unassigned",Huntington,2,53578,"Gardner, Asa","Tapia, Maisie",SMLLC,No Selection,,Partner
4/15/2024,Wiza - Legros,Partnership Income Tax,"Morrow, Gordon",Reviewer,4/3/2024,"In, Unassigned",Huntington,3,53578,"Gardner, Asa","Tapia, Maisie",SMLLC,No Selection,,No Selection
4/15/2024,"Hintz, Gottlieb and DuBuque",Individual Income Tax,No Selection,Preparer,4/3/2024,"In, Unassigned",ZZINDIV,15,53740,"Gardner, Asa","Gardner, Asa",,No Selection,,No Selection
4/15/2024,"Hintz, Gottlieb and DuBuque",Individual Income Tax,No Selection,Reviewer,4/3/2024,"In, Unassigned",ZZINDIV,7,53740,"Gardner, Asa","Gardner, Asa",,No Selection,,No Selection
4/15/2024,"Hintz, Gottlieb and DuBuque",Individual Income Tax,"Gardner, Asa",Reviewer,4/3/2024,"In, Unassigned",ZZINDIV,5,53740,"Gardner, Asa","Gardner, Asa",,No Selection,,Partner
10/15/2024,Anderson - Sawayn,Individual Income Tax,Intern,Preparer,4/3/2024,"In, Unassigned",Rood,12,53981,"Gardner, Asa","Gardner, Asa",,No Selection,,Intern
10/15/2024,Anderson - Sawayn,Individual Income Tax,"Gardner, Asa",Reviewer,4/3/2024,"In, Unassigned",Rood,4,53981,"Gardner, Asa","Gardner, Asa",,No Selection,,Partner
10/15/2024,Anderson - Sawayn,Individual Income Tax,"Morrow, Gordon",Reviewer,4/3/2024,"In, Unassigned",Rood,6,53981,"Gardner, Asa","Gardner, Asa",,No Selection,,No Selection
9/15/2024,O'Kon Inc,S Corporation Income Tax,"Gutierrez, Joyce",Preparer,4/2/2024,"In, Assigned",Epps,6,516,"Duran, Angel","Duran, Angel",,No Selection,Tax,Associate
9/15/2024,O'Kon Inc,S Corporation Income Tax,"Love, Harrison",Reviewer,4/2/2024,"In, Assigned",Epps,1,516,"Duran, Angel","Duran, Angel",,No Selection,Tax,Partner
9/15/2024,O'Kon Inc,S Corporation Income Tax,"Duran, Angel",Reviewer,4/2/2024,"In, Assigned",Epps,2,516,"Duran, Angel","Duran, Angel",,No Selection,Tax,Partner
9/15/2024,O'Kon Inc,S Corporation Income Tax,"Morrow, Gordon",Reviewer,4/2/2024,"In, Assigned",Epps,3,516,"Duran, Angel","Duran, Angel",,No Selection,Tax,No Selection
4/15/2024,McClure and Sons,Individual Income Tax,"Gray, Kori",Reviewer,4/2/2024,"In, Assigned",Cate,7,582,"Gray, Kori","Gray, Kori",,Staff Pool,Tax,Manager
4/15/2024,McClure and Sons,Individual Income Tax,"Middleton, Cecilia",Reviewer,4/2/2024,"In, Assigned",Cate,10,582,"Gray, Kori","Gray, Kori",,Staff Pool,Tax,Supervisor
4/15/2024,McClure and Sons,Individual Income Tax,"Romero, Guadalupe",Preparer,4/2/2024,"In, Assigned",Cate,20,582,"Gray, Kori","Gray, Kori",,Staff Pool,Tax,Associate
9/15/2024,"Hodkiewicz, Schaden and Walsh",S Corporation Income Tax,"Middleton, Cecilia",Reviewer,4/2/2024,"In, Assigned",Gentile,2,1182,"Middleton, Cecilia","Middleton, Cecilia",,Staff Pool,Tax,Senior
9/15/2024,"Hodkiewicz, Schaden and Walsh",S Corporation Income Tax,"Chen, Lyla",Preparer,4/2/2024,"In, Assigned",Gentile,3,1182,"Middleton, Cecilia","Middleton, Cecilia",,Staff Pool,Tax,Associate
4/15/2024,"Gorczany, Kuhic and Harber",Individual Income Tax,Intern,Preparer,4/2/2024,"In, Unassigned",ZZINDIV,5,2062,"Gray, Kori","Gray, Kori",,Intern Pool,Tax,Intern
4/15/2024,"Gorczany, Kuhic and Harber",Individual Income Tax,"Gray, Kori",Reviewer,4/2/2024,"In, Unassigned",ZZINDIV,2,2062,"Gray, Kori","Gray, Kori",,Intern Pool,Tax,Partner
4/15/2024,Prohaska - Goldner,Individual Income Tax,Intern,Preparer,4/2/2024,"In, Unassigned",Spaulding,8,2139,"Gardner, Asa","Gardner, Asa",,Intern Pool,Tax,Intern
4/15/2024,Prohaska - Goldner,Individual Income Tax,"Love, Harrison",Reviewer,4/2/2024,"In, Unassigned",Spaulding,1,2139,"Gardner, Asa","Gardner, Asa",,Intern Pool,Tax,Partner
4/15/2024,Prohaska - Goldner,Individual Income Tax,"Gardner, Asa",Reviewer,4/2/2024,"In, Unassigned",Spaulding,4,2139,"Gardner, Asa","Gardner, Asa",,Intern Pool,Tax,Partner
4/15/2024,Prohaska - Goldner,Individual Income Tax,"Morrow, Gordon",Reviewer,4/2/2024,"In, Unassigned",Spaulding,4,2139,"Gardner, Asa","Gardner, Asa",,Intern Pool,Tax,No Selection
4/15/2024,Abshire - Fay,Individual Income Tax,"Cummings, Sara",Reviewer,4/2/2024,"In, Unassigned",Schlesinger,2,2198,"Cummings, Sara","Cummings, Sara",,Intern Pool,Tax,Partner
4/15/2024,Abshire - Fay,Individual Income Tax,Intern,Preparer,4/2/2024,"In, Unassigned",Schlesinger,5,2198,"Cummings, Sara","Cummings, Sara",,Intern Pool,Tax,Intern
4/15/2024,King Group,Individual Income Tax,"Pacheco, Louisa",Preparer,4/2/2024,"In, Assigned",King,4,50672,"Duran, Angel","Duran, Angel",,Intern Pool,Tax,Associate
4/15/2024,King Group,Individual Income Tax,"Olsen, Murphy",Reviewer,4/2/2024,"In, Assigned",King,3,50672,"Duran, Angel","Duran, Angel",,Intern Pool,Tax,Senior
4/15/2024,King Group,Individual Income Tax,"Duran, Angel",Reviewer,4/2/2024,"In, Assigned",King,3,50672,"Duran, Angel","Duran, Angel",,Intern Pool,Tax,Senior
10/15/2024,Hintz - Nienow,Individual Income Tax,No Selection,Reviewer,4/2/2024,"In, Unassigned",Herzog,3,51439,"Villanueva, Loretta","Hubbard, Braden",,Intern Pool,Tax,Supervisor
10/15/2024,Hintz - Nienow,Individual Income Tax,Intern,Preparer,4/2/2024,"In, Unassigned",Herzog,6,51439,"Villanueva, Loretta","Hubbard, Braden",,Intern Pool,Tax,Intern
10/15/2024,Hintz - Nienow,Individual Income Tax,"Middleton, Cecilia",Reviewer,4/2/2024,"In, Unassigned",Herzog,3,51439,"Villanueva, Loretta","Hubbard, Braden",,Intern Pool,Tax,Senior
10/15/2024,Hintz - Nienow,Individual Income Tax,"Hubbard, Braden",Reviewer,4/2/2024,"In, Unassigned",Herzog,2,51439,"Villanueva, Loretta","Hubbard, Braden",,Intern Pool,Tax,Partner
4/15/2024,"Sipes, Kunze and Hand",Individual Income Tax,"Olsen, Murphy",Reviewer,4/2/2024,"In, Unassigned",Tarango,2,52982,"Morrow, Gordon","Morrow, Gordon",,Intern Pool,Tax,Senior
4/15/2024,"Sipes, Kunze and Hand",Individual Income Tax,Intern,Preparer,4/2/2024,"In, Unassigned",Tarango,6,52982,"Morrow, Gordon","Morrow, Gordon",,Intern Pool,Tax,Intern
4/15/2024,"Sipes, Kunze and Hand",Individual Income Tax,"Love, Harrison",Reviewer,4/2/2024,"In, Unassigned",Tarango,1,52982,"Morrow, Gordon","Morrow, Gordon",,Intern Pool,Tax,Partner
4/15/2024,"Sipes, Kunze and Hand",Individual Income Tax,"Gardner, Asa",Reviewer,4/2/2024,"In, Unassigned",Tarango,1,52982,"Morrow, Gordon","Morrow, Gordon",,Intern Pool,Tax,Partner
4/15/2024,"Sipes, Kunze and Hand",Individual Income Tax,"Morrow, Gordon",Reviewer,4/2/2024,"In, Unassigned",Tarango,3,52982,"Morrow, Gordon","Morrow, Gordon",,Intern Pool,Tax,No Selection
4/15/2024,Marks - Lubowitz,Trust Income Tax,"Morrow, Esperanza",Reviewer,4/2/2024,"In, Unassigned",Spaulding,2,53246,"Gardner, Asa","Gardner, Asa",The Lucas Tisdale Irrevocab,Intern Pool,,Manager
4/15/2024,Marks - Lubowitz,Trust Income Tax,"Morrow, Esperanza",Reviewer,4/2/2024,"In, Unassigned",Spaulding,2,53246,"Gardner, Asa","Gardner, Asa",The Nolan Tisdale Irrevocab,Intern Pool,,Manager
4/15/2024,Marks - Lubowitz,Trust Income Tax,Intern,Preparer,4/2/2024,"In, Unassigned",Spaulding,4,53246,"Gardner, Asa","Gardner, Asa",The Lucas Tisdale Irrevocab,Intern Pool,,Intern
4/15/2024,Marks - Lubowitz,Trust Income Tax,Intern,Preparer,4/2/2024,"In, Unassigned",Spaulding,4,53246,"Gardner, Asa","Gardner, Asa",The Nolan Tisdale Irrevocab,Intern Pool,,Intern
4/15/2024,Marks - Lubowitz,Trust Income Tax,"Gardner, Asa",Reviewer,4/2/2024,"In, Unassigned",Spaulding,1,53246,"Gardner, Asa","Gardner, Asa",The Lucas Tisdale Irrevocab,Intern Pool,,Partner
4/15/2024,Marks - Lubowitz,Trust Income Tax,"Gardner, Asa",Reviewer,4/2/2024,"In, Unassigned",Spaulding,1,53246,"Gardner, Asa","Gardner, Asa",The Nolan Tisdale Irrevocab,Intern Pool,,Partner
4/15/2024,Rolfson Group,Trust Income Tax,"Morrow, Esperanza",Reviewer,4/2/2024,"In, Unassigned",Spaulding,3,53363,"Gardner, Asa","Gardner, Asa",,Staff Pool,,Manager
4/15/2024,Rolfson Group,Trust Income Tax,Intern,Preparer,4/2/2024,"In, Unassigned",Spaulding,6,53363,"Gardner, Asa","Gardner, Asa",,Staff Pool,,Intern
4/15/2024,Rolfson Group,Trust Income Tax,"Gardner, Asa",Reviewer,4/2/2024,"In, Unassigned",Spaulding,1,53363,"Gardner, Asa","Gardner, Asa",,Staff Pool,,Partner
4/15/2024,Schowalter and Sons,Trust Income Tax,"Morrow, Esperanza",Reviewer,4/2/2024,"In, Unassigned",Spaulding,3,53364,"Gardner, Asa","Gardner, Asa",,Staff Pool,,Manager
4/15/2024,Schowalter and Sons,Trust Income Tax,Intern,Preparer,4/2/2024,"In, Unassigned",Spaulding,6,53364,"Gardner, Asa","Gardner, Asa",,Staff Pool,,Intern
4/15/2024,Schowalter and Sons,Trust Income Tax,"Gardner, Asa",Reviewer,4/2/2024,"In, Unassigned",Spaulding,1,53364,"Gardner, Asa","Gardner, Asa",,Staff Pool,,Partner
4/15/2024,"Waelchi, Wilkinson and Baumbach",Trust Income Tax,"Dennis, Nicholas",Reviewer,4/2/2024,"In, Assigned",Binkley,4,53564,"Duran, Angel","Duran, Angel",,No Selection,,No Selection
4/15/2024,"Waelchi, Wilkinson and Baumbach",Trust Income Tax,"Love, Harrison",Reviewer,4/2/2024,"In, Assigned",Binkley,1,53564,"Duran, Angel","Duran, Angel",,No Selection,,Partner
4/15/2024,"Waelchi, Wilkinson and Baumbach",Trust Income Tax,"Duran, Angel",Reviewer,4/2/2024,"In, Assigned",Binkley,2,53564,"Duran, Angel","Duran, Angel",,No Selection,,Partner
4/15/2024,"Waelchi, Wilkinson and Baumbach",Trust Income Tax,"McCall, Nelson",Preparer,4/2/2024,"In, Assigned",Binkley,6,53564,"Duran, Angel","Duran, Angel",,No Selection,,Associate
4/15/2024,"Stokes, Zemlak and Mueller",Trust Income Tax,"Dennis, Nicholas",Reviewer,4/2/2024,"In, Assigned",Binkley,3,53565,"Duran, Angel","Duran, Angel",,No Selection,,No Selection
4/15/2024,"Stokes, Zemlak and Mueller",Trust Income Tax,"Love, Harrison",Reviewer,4/2/2024,"In, Assigned",Binkley,1,53565,"Duran, Angel","Duran, Angel",,No Selection,,Partner
4/15/2024,"Stokes, Zemlak and Mueller",Trust Income Tax,"Duran, Angel",Reviewer,4/2/2024,"In, Assigned",Binkley,2,53565,"Duran, Angel","Duran, Angel",,No Selection,,Partner
4/15/2024,"Stokes, Zemlak and Mueller",Trust Income Tax,"McCall, Nelson",Preparer,4/2/2024,"In, Assigned",Binkley,4,53565,"Duran, Angel","Duran, Angel",,No Selection,,Associate
4/15/2024,McClure Inc,Individual Income Tax,Intern,Preparer,4/2/2024,"In, Assigned",Bergmann,2,54029,"Gardner, Asa","Gardner, Asa",,No Selection,,Intern
4/15/2024,McClure Inc,Individual Income Tax,"Gardner, Asa",Reviewer,4/2/2024,"In, Assigned",Bergmann,1,54029,"Gardner, Asa","Gardner, Asa",,No Selection,,Partner
4/15/2024,Jacobson - Wolf,Individual Income Tax,"Rush, Luca",Preparer,4/1/2024,"In, Assigned",Gagliano,4,717,"Gray, Kori","Gray, Kori",,Intern Pool,Tax,Intern
4/15/2024,Jacobson - Wolf,Individual Income Tax,"Gray, Kori",Reviewer,4/1/2024,"In, Assigned",Gagliano,2,717,"Gray, Kori","Gray, Kori",,Intern Pool,Tax,Manager
4/15/2024,Torphy - Russel,Trust Income Tax,"Howe, Jerry",Reviewer,4/1/2024,Completed / NA,Holley,2,851,"Duran, Angel","Howe, Jerry",,Intern Pool,Tax,Supervisor
4/15/2024,Torphy - Russel,Trust Income Tax,Intern,Preparer,4/1/2024,Completed / NA,Holley,4,851,"Duran, Angel","Howe, Jerry",,Intern Pool,Tax,Intern
4/15/2024,Larson - Medhurst,Individual Income Tax,"Morrow, Esperanza",Reviewer,4/1/2024,"In, Unassigned",ZZINDIV,3,2427,"Morrow, Esperanza","Middleton, Cecilia",,Intern Pool,Tax,Manager
4/15/2024,Larson - Medhurst,Individual Income Tax,Intern,Preparer,4/1/2024,"In, Unassigned",ZZINDIV,4,2427,"Morrow, Esperanza","Middleton, Cecilia",,Intern Pool,Tax,Intern
4/15/2024,Larson - Medhurst,Individual Income Tax,"Middleton, Cecilia",Reviewer,4/1/2024,"In, Unassigned",ZZINDIV,0.5,2427,"Morrow, Esperanza","Middleton, Cecilia",,Intern Pool,Tax,Manager
4/15/2024,Schoen Inc,Individual Income Tax,"Cummings, Sara",Reviewer,4/1/2024,"In, Unassigned",Jung,1,00C5925,"Cummings, Sara","Cummings, Sara",,Intern Pool,Tax,Partner
4/15/2024,Schoen Inc,Individual Income Tax,Intern,Preparer,4/1/2024,"In, Unassigned",Jung,3,00C5925,"Cummings, Sara","Cummings, Sara",,Intern Pool,Tax,Intern
4/15/2024,"Schaefer, Windler and Padberg",Individual Income Tax,No Selection,Reviewer,4/1/2024,"In, Unassigned",Zuber,2,2701,"Hubbard, Braden","Hubbard, Braden",,Intern Pool,Tax,Supervisor
4/15/2024,"Schaefer, Windler and Padberg",Individual Income Tax,Intern,Preparer,4/1/2024,"In, Unassigned",Zuber,4,2701,"Hubbard, Braden","Hubbard, Braden",,Intern Pool,Tax,Intern
4/15/2024,"Schaefer, Windler and Padberg",Individual Income Tax,"Brady, Ares",Reviewer,4/1/2024,"In, Unassigned",Zuber,2,2701,"Hubbard, Braden","Hubbard, Braden",,Intern Pool,Tax,Manager
4/15/2024,"Schaefer, Windler and Padberg",Individual Income Tax,"Hubbard, Braden",Reviewer,4/1/2024,"In, Unassigned",Zuber,1,2701,"Hubbard, Braden","Hubbard, Braden",,Intern Pool,Tax,Partner
4/15/2024,Funk Group,Individual Income Tax,"Gutierrez, Joyce",Preparer,4/1/2024,"In, Assigned",Lea,7,50811,"Brady, Ares","Brady, Ares",,Staff Pool,Tax,Associate
4/15/2024,Funk Group,Individual Income Tax,"Brady, Ares",Reviewer,4/1/2024,"In, Assigned",Lea,4,50811,"Brady, Ares","Brady, Ares",,Staff Pool,Tax,Supervisor
4/15/2024,Volkman and Sons,Individual Income Tax,"Rush, Luca",Preparer,4/1/2024,"In, Assigned",ZZINDIV,3,52048,"Morrow, Esperanza","Morrow, Esperanza",,Intern Pool,Tax,Intern
4/15/2024,Volkman and Sons,Individual Income Tax,"Morrow, Esperanza",Reviewer,4/1/2024,"In, Assigned",ZZINDIV,2,52048,"Morrow, Esperanza","Morrow, Esperanza",,Intern Pool,Tax,Manager
4/15/2024,Volkman and Sons,Individual Income Tax,"Hubbard, Braden",Reviewer,4/1/2024,"In, Assigned",ZZINDIV,0.5,52048,"Morrow, Esperanza","Morrow, Esperanza",,Intern Pool,Tax,Partner
4/15/2024,"Schinner, Gaylord and Langworth",Individual Income Tax,Intern,Preparer,4/1/2024,"In, Unassigned",ZZINDIV,4,52202,"Brady, Ares","Brady, Ares",,Intern Pool,Tax,Intern
4/15/2024,"Schinner, Gaylord and Langworth",Individual Income Tax,"Brady, Ares",Reviewer,4/1/2024,"In, Unassigned",ZZINDIV,2,52202,"Brady, Ares","Brady, Ares",,Intern Pool,Tax,Senior
4/15/2024,"Muller, Bogan and Powlowski",Individual Income Tax,Intern,Preparer,4/1/2024,"In, Unassigned",Beals,5,52489,"Gray, Kori","Gray, Kori",,Intern Pool,Tax,Intern
4/15/2024,"Muller, Bogan and Powlowski",Individual Income Tax,"Gray, Kori",Reviewer,4/1/2024,"In, Unassigned",Beals,1,52489,"Gray, Kori","Gray, Kori",,Intern Pool,Tax,Partner
4/15/2024,"Breitenberg, Rath and Luettgen",Individual Income Tax,Intern,Preparer,4/1/2024,"In, Unassigned",Backus,1,52809,"Duran, Angel","Duran, Angel",,Intern Pool,Tax,Intern
4/15/2024,"Breitenberg, Rath and Luettgen",Individual Income Tax,"Duran, Angel",Reviewer,4/1/2024,"In, Unassigned",Backus,1,52809,"Duran, Angel","Duran, Angel",,Intern Pool,Tax,Partner
4/15/2024,Carroll Group,Individual Income Tax,"Gutierrez, Joyce",Preparer,4/1/2024,"In, Assigned",Bandy,8,52859,"Hubbard, Braden","Hubbard, Braden",,Staff Pool,Tax,Associate
4/15/2024,Carroll Group,Individual Income Tax,"Howe, Jerry",Reviewer,4/1/2024,"In, Assigned",Bandy,4,52859,"Hubbard, Braden","Hubbard, Braden",,Staff Pool,Tax,Supervisor
4/15/2024,Carroll Group,Individual Income Tax,"Hubbard, Braden",Reviewer,4/1/2024,"In, Assigned",Bandy,2,52859,"Hubbard, Braden","Hubbard, Braden",,Staff Pool,Tax,Partner
4/15/2024,Rippin and Sons,Individual Income Tax,Intern,Preparer,4/1/2024,"In, Unassigned",Lizarraga,3,53389,"Duran, Angel","Duran, Angel",,Intern Pool,,Intern
4/15/2024,Rippin and Sons,Individual Income Tax,"Duran, Angel",Reviewer,4/1/2024,"In, Unassigned",Lizarraga,1,53389,"Duran, Angel","Duran, Angel",,Intern Pool,,Partner
4/15/2024,"Littel, Walsh and Krajcik",Individual Income Tax,No Selection,Reviewer,4/1/2024,Prep Complete,Beaudoin,10,53410,"Gardner, Asa","Gardner, Asa",,No Selection,,Senior
4/15/2024,"Littel, Walsh and Krajcik",Individual Income Tax,"Small, Diego",Preparer,4/1/2024,Prep Complete,Beaudoin,20,53410,"Gardner, Asa","Gardner, Asa",,No Selection,,Associate
4/15/2024,"Littel, Walsh and Krajcik",Individual Income Tax,"Gardner, Asa",Reviewer,4/1/2024,Prep Complete,Beaudoin,5,53410,"Gardner, Asa","Gardner, Asa",,No Selection,,Partner
4/15/2024,Mitchell - Jast,Trust Income Tax,Intern,Preparer,4/1/2024,"In, Unassigned",Fellows,5,53715,"Gray, Kori","Gray, Kori",,Intern Pool,,Intern
4/15/2024,Mitchell - Jast,Trust Income Tax,"Gray, Kori",Reviewer,4/1/2024,"In, Unassigned",Fellows,3,53715,"Gray, Kori","Gray, Kori",,Intern Pool,,Partner
4/15/2024,Flatley and Sons,Individual Income Tax,"Gardner, Asa",Reviewer,3/31/2024,"In, Assigned",ZZINDIV,5,53329,"Gardner, Asa","Gardner, Asa",,Staff Pool,,Partner
4/15/2024,Flatley and Sons,Individual Income Tax,"Chen, Lyla",Preparer,3/31/2024,"In, Assigned",ZZINDIV,10,53329,"Gardner, Asa","Gardner, Asa",,Staff Pool,,Associate
9/30/2024,Veum Inc,Trust Income Tax,"Small, Diego",Preparer,3/31/2024,"In, Assigned",Beaudoin,6,53442,"Gardner, Asa","Gardner, Asa",,No Selection,,Associate
9/30/2024,Veum Inc,Trust Income Tax,"Gardner, Asa",Reviewer,3/31/2024,"In, Assigned",Beaudoin,4,53442,"Gardner, Asa","Gardner, Asa",,No Selection,,Partner
